client_name,client_version,client_previous_version,client_timestamp,client_previous_timestamp,dependency_name,dependency_version_range,dependency_previous_version_range,dependency_resolved_version,dependency_previous_resolved_version,resources_client, first_round_codes,codes,causes,how_downgrade,quotes
react-element-to-jsx-string,5.0.2,5.0.1,2016-11-17T20:46:04.983Z,2016-11-16T21:29:21.831Z,stringify-object,^2.4.0,^3.0.0,2.4.0,3.0.0,https://github.com/algolia/react-element-to-jsx-string/commit/77f043b363b5344101330c705fd7dc109275f71a,"choose specific provider, choose specific range",No specific factor,,,"""5.0.2"""
flw,0.0.14,0.0.13,2016-10-22T18:06:04.281Z,2016-10-22T17:56:45.351Z,eslint,<2.8,3.8.1,2.7.0,3.8.1,https://github.com/whyhankee/node-flw/commit/fd320972f57c63072742997ce1a358e1112d0418,"choose specific provider, choose specific range",Specify provider to downgrade,,,"""Downgrade ESLint dependencie (again) for older versions"""
xmljade,0.3.3,0.3.2,2016-02-26T19:19:05.458Z,2016-02-01T19:26:47.956Z,grunt-contrib-nodeunit,0.4,^0.4,0.4.0,0.4.1,https://github.com/hildjj/xmljade/commit/844f66cdf83f36a0e9b8c9e9353684f3db302fa3,"remove operator, change a batch of dependencies once, lock dependencies",Change providers with same prefix on name,,,
d3-composite-projections,0.3.5,0.3.1,2016-01-20T10:31:46.597Z,2015-12-19T09:26:29.205Z,gulp-changed,1.2.1,^1.2.1,1.2.1,1.3.0,https://github.com/rveciana/d3-composite-projections/commit/ee5c52406d33e3f15800b565ac82a7d5c49da88c,"remove operator, change a batch of dependencies once, lock all dependencies, coupling with new node version, incompatibility","Fix broken test, Recover from breaking change","Incompatibilities, Node version",,"""npm versions changed to run the project with node 5.4. Tests changed accordingly so jsdom can run them with the new versions"""
react-pullrefresh,1.2.0,1.1.9,2017-02-28T10:22:13.520Z,2017-02-24T11:30:58.528Z,webpack,1.14.0,^2.2.1,1.14.0,2.2.1,https://github.com/yusukeshibata/react-pullrefresh/commit/454845ff4876fea2ba3b92025b38425552b887c3,"remove operator, choose specific provider, choose specific version, downgrade providers with same prefix in name",Add new test,,,"""multi element support"""
furystack-core,1.0.0-alpha-10,1.0.0-alpha-1,2017-05-13T15:24:27.383Z,2017-04-23T14:57:50.593Z,nyc,10.2.0,^10.2.0,10.2.0,10.2.2,"https://github.com/FuryTechs/furystack-core/commit/cfc60cad0e10e890da4e900ac583f883215e67fc, https://github.com/FuryTechs/furystack-core/pull/3","remove operator, choose specific provider, add feature while downgrading","Add new test, Add new feature",,,"""Feature/custom actions"", ""Added functionality to define Custom Actions on the Global (Endpoint) scope, per EntitySet and per EntityType"""
react-flip-move,2.3.0,2.2.1,2016-05-29T12:48:10.545Z,2016-05-29T10:38:50.209Z,karma-sinon-chai,1.1.0,^1.1.0,1.1.0,1.2.0,https://github.com/joshwcomeau/react-flip-move/commit/a8ae03a3924623d78576f3c3fdadb1d381dae3c7,"remove operator, choose specific provider, add feature while downgrading",Add new feature,,,"""Implement delegated props to container element"""
trust-html-pipe,0.0.3,0.0.2,2017-05-31T14:20:37.877Z,2017-05-28T18:09:07.444Z,typescript,~2.0.3,~2.2.0,2.0.10,2.2.2,https://github.com/tvicpe/trust-html-pipe/commit/c3826c378d5c1421bdaa797ce92da8cc9e5904d4,"change batch of dependencies once, choose specific range",No specific factor,,,"""update dependencies version”"
wqst,1.0.3,1.0.2,2015-12-14T08:34:15.194Z,2015-01-05T10:14:05.874Z,pipedown,0.0.2,0.0.3,0.0.2,0.0.3,https://github.com/michaelrhodes/wqst/commit/c874906aaa2f84fd0466b2aaba048f213bfc683c,"breaking change, change a batch of providers but not all, range to range",Recover from breaking change,,,"""Update dependencies and patch breakages."""
vue-infinite-loading,1.3.0,2.0.0-rc.2,2017-01-13T14:00:55.842Z,2016-10-28T18:03:33.749Z,vue,^1.0.22,^2.0.0-rc.6,1.0.28,2.0.3,https://github.com/PeachScript/vue-infinite-loading/commit/c264d2e9f8a361c3296add7fdd99cf00a6a8c5f3,"breaking change, change a batch of providers but not all, range to range","Specify provider to downgrade, Recover from breaking change","Breaking change, Run-time breaking change",,"""Update the dependencies to adapt the breaking changes of Vue.js@2.1.7"""
angular-select-module,0.0.9,0.0.8,2017-04-03T03:59:44.054Z,2017-04-03T03:53:25.192Z,zone.js,^0.7.4,^0.8.5,0.7.8,0.8.5,https://github.com/ywein/angular-select-module/commit/e2e567c9a5193fca10651d975f31e25c3e4fbda4,"change batch of dependencies once, choose specific range, remove bunch of providers while downgrading",Remove some provider(s),,,"""working version"""
redux-newrelic,0.0.2,0.0.1,2016-07-18T00:25:50.231Z,2016-07-17T03:33:45.773Z,chai,3.3.0,^3.3.0,3.3.0,3.5.0,https://github.com/ezekielchentnik/redux-newrelic/commit/7471ca3e6aa8d1c8ccb6afe0425e5ffe08a16a4c,"remove operator, change a batch of dependencies once, lock all dependencies, add dependencies while downgrading",Add new provider(s),,,
es-money,1.0.3-0,1.0.2,2016-11-17T15:28:37.404Z,2016-10-13T11:11:03.339Z,eslint-plugin-import,^1.16.0,^2.0.0,1.16.0,2.0.1,https://github.com/cbrunnkvist/es-money/commit/413bcb31efcadc56e413348f679118846306ba2a,"node requirement, change specific provider, choose specific range",Fix incompatibility,,,"""Add dist/, note minimum Node 4 requirement"""
jit-grunt,0.7.0,0.6.0,2014-05-19T14:57:45.689Z,2014-05-08T06:01:09.324Z,grunt-contrib-jshint,~0.9.0,~0.10.0,0.9.2,0.10.0,https://github.com/shootaroo/jit-grunt/commit/d1de6b529375aac3ebaaa8bdb63ec778828d4722,"node requirement, change specific provider, choose specific range",Fix incompatibility,"Incompatibilities, Node version",,"""Fix nom error on node v0.8"""
lanyon,0.0.64,0.0.63,2017-03-23T13:38:36.945Z,2017-02-22T09:49:45.280Z,css-loader,0.14.5,0.26.1,0.14.5,0.26.1,https://github.com/kvz/lanyon/commit/61e2f44e74b45e60a006cb5a1d86342d1d746f78,"choose specific provider, choose specific target version, improve build performance","Improve performance, Specify provider to downgrade",Performance issues,,"""Downgrade `css-loader` to 0.14.5 to address superslow HMR builds webp ack-contrib/css-loader#124"""
dolphinio,1.1.0,1.0.6,2015-10-14T18:43:58.416Z,2015-09-23T14:33:29.310Z,should,~3.2.0,^3.2.0,3.2.0,3.3.2,https://github.com/knodeit/dolphinio/commit/98880017f7bdd66703fb55d2297ebeef737771fa,"change ^ by ~, change batch of providers at once, added feature while downgrading",Add new feature,,,"""added extending models"""
react-conventions,0.41.0,0.40.0,2016-07-26T19:45:47.049Z,2016-07-19T20:15:37.043Z,react-addons-test-utils,15.1.0,^15.1.0,15.1.0,15.2.1,https://github.com/GetAmbassador/react-ions/commit/34afe7e95e45ddee9074f70fedfc5f404fa450d5,"remove operator, choose specific provider, add feature while downgrading, downgrade dependencies with same prefix on name","Add new feature, Change providers with same prefix on name",,,"""[#122074381] Added callback to clear values on reset button click”"
window-mock,0.0.7,0.0.6,2015-11-11T15:16:02.365Z,2015-09-10T17:53:26.322Z,tape,4.0.1,^4.0.1,4.0.1,4.2.0,https://github.com/sbstnmsch/window-mock/commit/f2b253bdc4b52f04ea6a00e4b340fe9ca6146c90,"support new node version, compatibility with other dependency, remove operator, change batch of dependencies once","Change providers with same prefix on name, Add new feature",,,"""Add node 5 and babel 6 support”"
eslint-config-picter,0.2.0-alpha.2,0.2.0-alpha.1,2017-05-29T12:05:44.948Z,2017-05-29T11:57:33.103Z,eslint-config-airbnb,14.1.0,^15.0.1,14.1.0,15.0.1,https://github.com/picter/eslint-config-picter/commit/10bebc91885bb612f1da249285185593f4323b9e,"revert previous commit updating dependencies, downgrade dependencies with same prefix on name","Change providers with same prefix on name, Fix incompatibility",,,"""Revert ""Merge pull request #2 from picter/upgrade-airbnb-15.0.1”"
self,0.2.1,0.2.0,2012-04-20T03:22:50.653Z,2012-04-20T02:49:11.414Z,microtime,0.2.0,0.3.1,0.2.0,0.3.1,https://github.com/Submersible/self/commit/1e336bc3fc61ddef912441a99f888ae72784d5f4,"couple with node version, choose specific dependencies, choose specific version",Fix incompatibility,"Incompatibilities, Node version",,"""Rollbacked dev dependencies to work on node 0.4”"
stack-utils-node-internals,1.0.1,1.0.0,2017-03-10T17:35:01.821Z,2017-03-09T09:05:39.802Z,cz-conventional-changelog,1.1.5,^1.2.0,1.1.5,1.2.0,https://github.com/olstenlarck/stack-utils-node-internals/commit/76de1c03409b66d3184509bc9b9ff54921a1e05d,"couple with node version, choose specific dependencies, choose specific version","Fix incompatibility, Recover from breaking change, Specify provider to downgrade","Incompatibilities, Node version",,"""fix(deps): fix commitizen and cz changelog version: lock to very specific version that works on node 0.10"""
machinepack-util,6.0.0,5.1.1,2016-03-13T14:20:10.679Z,2015-07-27T19:08:12.288Z,mocha,2.1.0,^2.1.0,2.1.0,2.2.5,https://github.com/sailshq/machinepack-util/commit/866f0bb1cf7bd71dc71cb3ddffdb58afc49485d8,"lots of things happening at the same time, remove operator, change operator, change a batch of dependencies","Remove some provider(s), Refactor code",,,"""Update deps and clean up interfaces.”"
antwar,0.1.0,0.0.6,2015-03-07T18:03:22.554Z,2015-03-02T20:27:49.897Z,autoprefixer-loader,1.0.0,^1.2.0,1.0.0,1.2.0,https://github.com/antwarjs/antwar/commit/09de8fc8ed45ad6a34ca059eaf8b675b6d1b402e,"provider version failing with client configuration, choose specific provider, choose specific version","Recover from breaking change, Specify provider to downgrade","Breaking change, Development-time breaking change",,"""Revert autoprefixer-loader back to 1.0.0 Looks like 1.2.0 fails with our configuration."""
yog2-kernel,1.3.2,1.3.1,2016-07-28T03:43:29.824Z,2016-07-25T10:19:39.628Z,fs-extra,0.18.3,0.30.0,0.18.3,0.30.0,https://github.com/fex-team/yog2-kernel/commit/3f0f6c48a535a90f1eac24df962545a7320d7d0c,"compatibility issues, choose specific provider, choose specific version","Fix incompatibility, Specify provider to downgrade","Incompatibilities, Other providers",,"""release 1.3.2 fix fs-extras compability"""
typed-dva,1.3.0-beta1-23,1.3.0-beta1-15,2017-03-01T14:02:22.106Z,2017-02-13T07:05:08.616Z,react-redux,4.4.x,^5.0.2,4.4.6,5.0.2,https://github.com/xinhuang327/typed-dva/commit/876b2bc5787305eccf5d243ede1cc2c54d2a5660,"change one dependency to fix another, change dependencies with same prefix on name, choose specific range","Specify provider to downgrade, Fix unspecified issue",,,"""fix react-router and history versions"""
silk,0.17.0,0.16.0,2016-06-02T23:45:09.235Z,2016-05-21T00:09:09.399Z,which,1.2.8,^1.2.4,1.2.8,1.2.9,https://github.com/silklabs/silk/commit/351235b6c19f583e9a49118ccf4dfcff052e7a30,"choose specific provider, choose specific version",Specify provider to downgrade,,,"""sdk: uprade which to 1.2.8"""
react-native-osd-form,1.0.11,1.0.10,2016-12-09T16:27:48.820Z,2016-12-09T16:13:56.595Z,react-native-checkbox,1.0.16,~1.0.15,1.0.16,1.0.17,https://github.com/Osedea/react-native-osd-form/commit/e4686fbe4aaa728b9b7d6d62759129468c1fda93,"choose specific provider, choose specific version",Specify provider to downgrade,Unexpected behaviour,,"""Update of react-native-checkbox cuts the labels"""
react-ingrid,0.3.2,0.3.1,2016-04-01T14:23:05.026Z,2016-03-11T14:34:43.321Z,eslint,2.2.0,^2.2.0,2.2.0,2.3.0,https://github.com/galkinrost/react-ingrid/commit/536abfa597181733ad698898051aff020653798a,"choose specific provider, choose specific version",Specify provider to downgrade,,,"""downgrade eslint"""
hubot-seen,1.0.0,0.2.3,2017-03-15T19:58:43.205Z,2015-06-19T20:15:12.571Z,chai,^1.10.0,*,1.10.0,3.0.0,https://github.com/hubot-scripts/hubot-seen/commit/86195af1d9601ac2986293c93e236d537d28e90f,"choose specific provider, choose specific version",Specify provider to downgrade,,,"""Lock chai dep"""
quex,0.0.3,0.0.2,2017-02-14T12:18:55.462Z,2017-02-09T13:20:57.987Z,typescript,2.1.6,^2.1.5,2.1.6,2.2.0,https://github.com/nullabletypo/quex/commit/e6be60f759a8fdfadb6dac5883b1d529e234e6c6,"choose specific provider, choose specific version",No specific factor,,,"""upgrade"""
lazyselectize,1.0.8,1.0.7,2016-10-25T10:59:20.286Z,2016-09-05T10:41:53.875Z,selectize,0.12.2,*,0.12.2,0.12.3,https://github.com/servicechannel/selectize/commit/90b8a57eea52880b70c95bffd4bad7ed74aa522e,"choose specific provider, choose specific version",Specify provider to downgrade,,,"""change to use SelectizeJs version 0.12.2"""
pg-promise,5.8.1,5.8.0,2017-05-30T06:15:34.678Z,2017-05-29T04:21:13.479Z,coveralls,2.11,2.13,2.11.16,2.13.1,https://github.com/vitaly-t/pg-promise/commit/7e058dc084052e183221c9b057244df148ff2252,"choose specific provider, choose specific version",No specific factor,,,"""resetting changes."""
findify-ui-components,0.2.83,0.2.82,2017-05-12T12:30:06.266Z,2017-05-12T10:06:41.352Z,recompose,0.23.1,^0.23.1,0.23.1,0.23.3,https://github.com/findify/ui-components/commit/55b897073425a8a26c5803e7c108510477da079b,"choose specific provider, choose specific version",Specify provider to downgrade,,,"""Fix version of recompose"""
lessthan3,0.5.15,0.5.14,2014-03-06T21:05:45.440Z,2014-03-06T20:49:09.528Z,chokidar,0.7.1,0.8.x,0.7.1,0.8.1,https://github.com/lessthan3/dobi/commit/5cf7cd6123e0cf85f97a971e4cdbefe7f23b33f4,"choose specific provider, choose specific version","Specify provider to downgrade, Fix bug",,,"""revert to chikdar 0.7.1"""
mongodb-data-service,1.7.0,1.6.0,2016-10-10T17:57:27.033Z,2016-09-23T04:50:59.089Z,mongodb-connection-model,5.1.0,^6.0.0,5.1.0,6.0.0,https://github.com/mongodb-js/data-service/commit/5d9e0f9c7d44c686a8a22b1c35d20033c8550ef6,"choose specific provider, choose specific version",No specific factor,,,"""COMPASS-100: Lower collection model dep"""""
grunt-wget,0.1.2,0.1.1,2014-05-07T09:22:13.414Z,2014-05-07T07:44:29.845Z,async,~0.2.10,^0.8.0,0.2.10,0.8.0,https://github.com/shootaroo/grunt-wget/commit/d5d3078f83f427fc54e8a18d0728c1cc818599a5,"fix, fix issue with node, choose specific range, change all dependencies",Fix incompatibility,"Incompatibilities, Node version",,"""Fix npm error on node 0.8.x"""
koa-better-validation,1.0.1,1.0.0,2016-09-17T21:40:04.381Z,2016-09-15T23:30:23.674Z,validator,^4.0.5,^5.7.0,4.9.0,5.7.0,https://github.com/technicallyjosh/koa-better-validation/commit/c9f274a969f6449f60015ae1b0b05a223499161c,"revert implicit upgrade, choose specific providers, choose specific range, change batch of dependencies once",Remove some provider(s),,,"""revert dep updates"""
ember-cli-foreigner,0.0.2,0.0.1,2014-11-24T21:11:41.435Z,2014-11-21T21:31:48.740Z,broccoli-ember-hbs-template-compiler,1.6.1,^1.6.1,1.6.1,1.7.0,https://github.com/mirego/ember-cli-foreigner/commit/0d4633d0cf44ad305e0e340d6c56b115df4b64de,"speed up build, improve performance, choose specific dependencies, remove operator","Improve performance, Change configuration, Add new test",Performance issues,,"""Freeze dependencies version to better use cache on Travis and change test setup"""
ng-hydration-renderer,0.0.0-alpha.6,0.0.0-alpha.5,2017-02-23T02:45:07.829Z,2017-02-16T05:44:32.523Z,typescript,~2.0.10,^2.2.0,2.0.10,2.2.0,https://github.com/FrozenPandaz/ng-hydration-renderer/commit/58621b48e34f8b3b7ea1415d6614fff6b701de6d,"making build work, choos specific provider, choose specific range, add dependency while downgrading","Fix build, Change configuration",,,"""WIP working build”"
jslint,0.6.4,0.6.2,2014-09-10T15:53:41.280Z,2014-08-13T14:52:06.390Z,istanbul,~0.1.44,^0.3.0,0.1.46,0.3.0,https://github.com/reid/node-jslint/commit/00377aa2ed018c3270208eaf4996bf5bdda5e91f,"change ^ by ~, change batch of providers at once, backward compatibility","Specify provider to downgrade, Fix incompatibility",,,"""backward-compat package.json: - use only twiddles, no carets - restore 'engines' support for 0.8 - move glob from optional to dependencies"""
engine.io,0.7.3,0.7.2,2013-08-23T22:50:24.290Z,2013-08-23T22:41:28.543Z,ws,0.4.25,0.4.27,0.4.25,0.4.27,https://github.com/socketio/engine.io/commit/1e55b039b9658e64f6e8a0a5ab3eca08d85daa4c,"choose specific provider, choose specific target version, fix issue introduced with upgrade","Recover from breaking change, Specify provider to downgrade, Improve performance",,,"""package: fix regresison in upgrade cause by ws update"""
react-simple-modal,1.1.0,1.0.5,2015-10-14T16:58:21.574Z,2015-10-08T00:13:16.559Z,gulp,3.8.0,^3.9.0,3.8.0,3.9.0,https://github.com/sergiodxa/react-simple-modal/commit/c5ce382e08e2333c8b7dff3fba61c20ae5a40112,"remove operator, change a batch of dependencies once, choose specific version",No specific factor,,,
klobb,0.0.5,0.0.4,2016-02-10T09:20:15.071Z,2016-02-10T08:10:58.661Z,babel-runtime,6.3.19,^6.5.0,6.3.19,6.5.0,https://github.com/danneu/klobb/commit/44dd317a5d3d99cd341aba46044e1e9c5a2a65f8,"remove operator, change a batch of dependencies once, choose specific version","Change providers with same prefix on name, Specify provider to downgrade",,,"""Try different babel incantations"""
rc-tools,5.3.3,5.3.2,2016-03-23T10:13:47.131Z,2016-03-23T10:06:53.717Z,babel-eslint,^4.1.8,^5.0.0,4.1.8,5.0.0,https://github.com/react-component/rc-tools/commit/9bd53ab72b6ee87e359036aa516ccac9aa2b063b,"revert commit, choose specific dependencies, choose specific range","Change providers with same prefix on name, Change configuration",,,"“revert"""
gmail-batch-stream,0.1.2,0.1.1,2016-10-17T19:55:30.053Z,2016-10-11T05:39:12.395Z,googleapis,^8.0.0,^14.0.0,8.2.0,14.0.0,https://github.com/zoellner/gmail-batch-stream/commit/232f62aa9ccb9adb672e1ed50f574c58131afd70,"revert commit, choose specific dependencies, choose specific range",No specific factor,,,"""Revert dependency updates"""
superagent,1.1.0,1.0.0,2015-03-13T15:51:07.490Z,2015-03-11T18:16:36.414Z,mocha,~2.0.1,*,2.0.1,2.2.1,https://github.com/visionmedia/superagent/commit/8b35e871ecbea148a0765d8d27daaf832c29c50c,"lock all dependencies, normalize dependencies, change batch of dependencies once, choose specific range",No specific factor,,,"""pin main dependencies and update devDeps to use `~`"""
react-split-pane,0.1.54,0.1.53,2016-11-17T21:51:50.857Z,2016-11-17T20:58:23.750Z,eslint-plugin-jsx-a11y,^2.2.3,^3.0.1,2.2.3,3.0.1,https://github.com/tomkp/react-split-pane/commit/aa04a9876ca9e0b9b9eeb16fec1b129b41d16a56,"fix, fix linting, choose speific provider, choose specific range",Fix bug,,,"""fix linting"""
react-styleguidist,4.6.0,5.0.0-beta-3,2017-01-10T08:10:08.958Z,2017-01-03T15:50:06.735Z,react-dom,~15.3.2,~15.4.1,15.3.2,15.4.1,https://github.com/styleguidist/react-styleguidist/commit/a79c121424fae12439a470f3a9e150f55f171e86,"change ^ by ~, change batch of providers at once, change all dependencies",Change providers with same prefix on name,,,
positron,1.0.0-alpha.3,1.0.0-alpha.2,2016-03-31T12:10:54.355Z,2016-02-08T19:29:22.974Z,lodash,~3.1.0,^3.1.0,3.1.0,3.10.1,https://github.com/quorrajs/Positron/commit/6f654d6e64ffd49380488de08454fa33e8861063,"change ^ by ~, change batch of providers at once, change all dependencies",No specific factor,,,
react-conventions,0.72.0,0.71.0,2016-11-15T23:15:55.397Z,2016-11-11T13:10:50.131Z,html-webpack-plugin,~1.6.1,^1.6.1,1.6.2,1.7.0,https://github.com/GetAmbassador/react-ions/commit/822b9f7ff0330121c072f1576365e5beee396703,"change ^ by ~, change batch of providers at once, change all dependencies",No specific factor,,,"""[#131100595] Use ~ instead of ^ for package versions"""
apostrophe-salesforce,0.0.10,0.0.9,2015-01-26T18:43:26.412Z,2015-01-12T16:12:01.477Z,moment,~2.8.4,^2.8.4,2.8.4,2.9.0,https://github.com/apostrophecms-legacy/apostrophe-salesforce/commit/428f9ef686873ac0eaea8f6b0f73e5a98b960f22,"change ^ by ~, change batch of providers at once, change all dependencies",No specific factor,,,"""next version, change npm deps to not upgrade beyond patch fixes"""
hubot-phabs,1.4.3,1.4.2,2016-08-16T02:56:47.758Z,2016-08-16T02:21:14.764Z,sinon,~1.4.2,^1.4.2,1.4.2,1.17.5,https://github.com/Gandi/hubot-phabs/commit/823db8a01d61c30af0c7a88a61ef39f6471b209c,"change ^ by ~, change batch of providers at once, change all dependencies",Change configuration,,,"""deps update and lint"""
phenogrid,1.3.5,1.3.4,2016-07-15T00:42:08.196Z,2016-06-07T15:15:07.434Z,jshint-stylish,2.0.1,^2.0.1,2.0.1,2.2.0,"https://github.com/monarch-initiative/phenogrid/commit/55bce3b7cff49352d1384468acdad611a3f7050d, https://github.com/monarch-initiative/phenogrid/issues/249","remove operator, change a batch of dependencies once, lock all dependencies, add feature while downgrading","Add new feature, Fix bug",,,"""fixed #249 and edit No similarity matches to be a single line"""
is-font,1.1.0,1.0.0,2017-01-28T18:38:09.719Z,2016-10-27T19:35:33.541Z,ava,^0.17.0,*,0.17.0,1.0.0,https://github.com/awcross/is-font/commit/12fd057465ff9e00d52574c1eda2960c750b68c5,"change * for ^, upgrade while downgraging, choose specific range",Refactor code,,,"""use Set for cleaner checking"""
karma-styluspreprocessor,0.1.3,0.1.2,2015-08-30T21:30:04.462Z,2015-08-30T21:13:53.425Z,accord,^0.15.2,0.20.1,0.15.2,0.20.1,https://github.com/artisin/karma-stylusPreprocessor/commit/5d10a53bb412bd1b69467fd143ca646847998ca5,"incompatibility between providers, fix tests, choose specific providers, from specific version to range of versions",Fix broken test,"Incompatibilities, Other providers, Breaking change, Development-time breaking change",,"""Fixed package.json which for some reason was not allowing webpack and karma validate for my tests"""
transformers-names-full,1.6.0,1.5.0,2016-12-18T14:56:48.846Z,2016-11-04T21:18:19.122Z,babel-cli,6.11.4,6.18.0,6.11.4,6.18.0,https://github.com/cracdev/transformers-names/commit/9fc5994c96f98034a1cb11a017209f08eaccbf6b,"fix build, change batch of providers, change providers with same prefix on name","Fix build, Change configuration",,,"""chore(pakcage.json, travis): update packages version of the files and fix the travis. update package and travis files"""
dynasty,0.2.7,0.2.6,2017-03-11T17:31:05.021Z,2016-08-15T18:41:38.111Z,mocha,^1.13.0,*,1.21.5,3.0.2,https://github.com/victorquinn/dynasty/commit/97237c5fd198632f42e9772827f6d3495d50e076,"fix build, change batch of providers, change providers with same prefix on name","Fix build, Specify provider to downgrade, Change providers with same prefix on name, Remove some provider(s)",,,"""Attempt to fix travis builds by locking grunt module versions around time this library was created"""
npm-cards,0.0.49,0.0.48,2016-07-08T01:59:00.719Z,2016-07-01T02:02:43.883Z,opn,^2.0.0,^4.0.2,2.0.1,4.0.2,https://github.com/willyb321/npm_cards/commit/f8a0f6fc629df85216f06ca342e167320710f6b0,testing bot (possibly checking if the bot is able to recommend to update the provider),Add new feature,,,"""testing greenkeeper again"""
ampersand-collection-lodash-mixin,4.0.0,3.0.0,2016-05-25T23:52:25.668Z,2016-05-25T20:56:53.648Z,precommit-hook,^2.0.1,^3.0.0,2.0.1,3.0.0,https://github.com/AmpersandJS/ampersand-collection-lodash-mixin/commit/90f966165d2e80cab58be54539e67be51c020717,"revert previous commit updating dependencies, remove a batch of dependencies with same prefix  previously added","Specify provider to downgrade, Remove some provider(s)",,,"""Revert ""Bump to lodash v4."""
yasgui-yasr,2.8.4,2.8.2,2016-07-29T14:39:03.654Z,2016-07-29T08:36:06.608Z,jquery,^2.2.4,>=3.1.0,2.2.4,3.1.0,https://github.com/OpenTriply/YASGUI.YASR/commit/926653a2258b5fd2d91bb46b449a6d8e7808f0c9,"incomptibility, choose specific provider, choose specific range","Fix incompatibility, Specify provider to downgrade","Incompatibilities, Other providers",,"""reverted jquery version to 2 for jquery-ui compatability"""
nodo,0.5.1,0.5.0,2014-03-11T15:43:32.988Z,2014-03-11T10:47:47.555Z,sqlite3,~2.1.12,^2.1.12,2.1.19,2.2.0,https://github.com/rogeriopvl/nodo/commit/f0b57e4ff95b4c3b40242598f42aee60493c6334,"compatibility with node version, change ^ by ~, change batch of providers at once",Fix incompatibility,"Incompatibilities, Node version",,"""remove caret to allow compatibility with node 0.8"""
rfid-sl030,0.0.8,0.0.7,2016-06-28T16:00:20.822Z,2016-06-28T11:09:05.532Z,ref,~0.3.2,~1.0.2,0.3.5,1.0.2,https://github.com/mcqn/rfid-sl030/commit/4bb71de571b99f91b443bf2487ec66b08ede5b1f,"fix bug, breaking change or breaking change, choose specific provider, choose specific range","Recover from breaking change, Specify provider to downgrade","Breaking change, Run-time breaking change",,"""Fix bug with ref-struct dependencies."""
levelgraph-jsonld,1.0.3,1.0.2,2017-02-07T12:59:16.336Z,2017-01-14T13:38:09.833Z,jsonld,0.4.9,~0.4.6,0.4.9,0.4.11,"https://github.com/levelgraph/levelgraph-jsonld/commit/c70626f9e4bdf1cd84aa328ad4d5f5a3b11c2e32, https://github.com/levelgraph/levelgraph-jsonld/pull/57","fix bug, breaking change, choose specific provider, choose specific version","Fix bug, Specify provider to downgrade","Breaking change, Run-time breaking change",,"""Pin jsonld.js to avoid #57 bug"", ""It was a combination of bugs. jsonld.compact introduced a bug in 0.4.10 (…)"""
sails,0.12.0-rc5,0.12.0-rc4,2016-01-13T00:04:08.293Z,2015-12-18T21:55:35.446Z,rc,1.0.1,~1.0.1,1.0.1,1.0.3,https://github.com/balderdashy/sails/commit/97fbe213ea511baa37bd4377bf29ea51ab3e631a,"lock versions, choose specific version, choose specific provider",Change providers with same prefix on name,,,"""Locked versions of dependencies we don't maintain. Bumped Sails version."""
mtwitter,1.6.0,1.5.3,2014-05-16T04:49:34.088Z,2014-04-04T23:12:11.234Z,jape,^0.0.1,0.0.x,0.0.1,0.0.3,https://github.com/passcod/mtwitter/commit/8835e1deba45e59abf6afa592e92a21c185c3f6b,"change .x for ^, change batch of providers at once, change all dependencies",No specific factor,,,"""Cut a new release, update meta, etc"""
angular-scope-types,1.0.0-beta.5,1.0.0-beta.4,2015-06-22T19:10:50.748Z,2015-06-05T22:04:42.039Z,mocha,2.1.0,^2.2.4,2.1.0,2.2.5,https://github.com/alianza-dev/angular-scope-types/commit/7d46ff2617451f0bb72fb63335a8c03c230f97e5,"choose specific provider, choose specific target version, adopting new provider","Refactor code, Change providers with same prefix on name",,,"""Moving to kcd-common-tools"""
lavaca-amd,4.0.0-alpha.2,4.0.0-alpha.1,2016-04-10T22:26:48.270Z,2016-03-27T17:34:53.910Z,fs-extra,0.6.3,~0.6.3,0.6.3,0.6.4,https://github.com/mutualmobile/lavaca/commit/170b635709164fe073a3caea28d4ec698625c604,"remove operator, change a batch of dependencies once, add dependencies while downgrading, remove dependencies while downgrading","Refactor code, Change configuration",,,"""Unit tests - jasmine -> mocha + chai + sinon (Promise support, more generic, better documentation)"""
hipley,0.12.1,0.12.0,2016-08-02T18:33:06.259Z,2016-05-03T22:53:26.002Z,webpack-dev-middleware,1.2.0,^1.2.0,1.2.0,1.6.1,https://github.com/cpsubrian/hipley/commit/035604c2f8161e5ed799d251f1c27a09fc2a8d5b,"breaking change, lock all dependencies, choose specific target version",Recover from breaking change,,,"""Lock down versions (so shit doesn't break)."""
enb-borschik,1.6.0-beta1,1.5.1,2015-07-29T14:38:15.021Z,2015-06-04T15:49:41.500Z,vow,0.4.3,^0.4.3,0.4.3,0.4.9,https://github.com/enb/enb-borschik/commit/2e145ddef5576f72f3d268a515cc12a985183705,"remove operator, change a batch of dependencies once, fix, attend pull request",Fix unspecified issue,,,"""Fix pull request notations from @blond"""
gulp-nightwatch-headless,1.0.2,1.0.1,2015-03-18T23:15:38.667Z,2015-02-04T03:29:55.808Z,through2,^0.6.3,*,0.6.3,1.1.1,https://github.com/peteward44/gulp-nightwatch-headless/commit/f9e919ce34e4617c52eff25635b281fba6da410b,"change * for ^, change all dependencies, add feature while downgrading","Improve performance, Refactor code",,,"""Bump to v1.0.2 - Moved executed code to flush method on through2 instead of per file, moved code inside closure on plugin so it can be executed multiple times in same session without issue"""
